sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_797776-809813.1	797776	809813	12037	10	28	2	0.70473		0.47	0.32	0.32	0.05	RiPP	0.00	0.07	0.13	0.02	0.71	0.01	0.06	NC_003888.3_NC_003888.3_716;NC_003888.3_NC_003888.3_717;NC_003888.3_NC_003888.3_718;NC_003888.3_NC_003888.3_719;NC_003888.3_NC_003888.3_720;NC_003888.3_NC_003888.3_721;NC_003888.3_NC_003888.3_722;NC_003888.3_NC_003888.3_723;NC_003888.3_NC_003888.3_724;NC_003888.3_NC_003888.3_725	PF08241;PF08242	PF12385;PF03412;PF00664;PF00005;PF02463;PF00664;PF00005;PF13191;PF02463;PF02541;PF14518;PF05175;PF06325;PF13489;PF12847;PF03602;PF13847;PF13649;PF08241;PF08242;PF01170;PF09360;PF00720;PF01070;PF00478;PF01645;PF00652;PF14200
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_815933-824058.1	815933	824058	8125	9	20	2	0.76996	antibacterial	0.66	0.05	0.06	0.08	Polyketide	0.12	0.00	0.12	0.51	0.10	0.02	0.31	NC_003888.3_NC_003888.3_728;NC_003888.3_NC_003888.3_729;NC_003888.3_NC_003888.3_730;NC_003888.3_NC_003888.3_731;NC_003888.3_NC_003888.3_732;NC_003888.3_NC_003888.3_733;NC_003888.3_NC_003888.3_734;NC_003888.3_NC_003888.3_735;NC_003888.3_NC_003888.3_736	PF00067;PF00248	PF00989;PF13188;PF08448;PF13426;PF13185;PF01590;PF07228;PF13581;PF14016;PF00248;PF02441;PF07080;PF12680;PF14534;PF00440;PF06902;PF13459;PF13370;PF00067;PF04075
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_847648-849232.1	847648	849232	1584	1	1	1	0.68118	antibacterial	0.94	0.00	0.04	0.01	Polyketide-Terpene	0.00	0.00	0.07	0.62	0.00	0.00	0.75	NC_003888.3_NC_003888.3_762	PF00067	PF00067
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_943850-964941.1	943850	964941	21091	21	45	5	0.76853		0.49	0.13	0.13	0.31		0.03	0.12	0.21	0.17	0.24	0.21	0.02	NC_003888.3_NC_003888.3_861;NC_003888.3_NC_003888.3_862;NC_003888.3_NC_003888.3_863;NC_003888.3_NC_003888.3_864;NC_003888.3_NC_003888.3_865;NC_003888.3_NC_003888.3_866;NC_003888.3_NC_003888.3_867;NC_003888.3_NC_003888.3_868;NC_003888.3_NC_003888.3_869;NC_003888.3_NC_003888.3_870;NC_003888.3_NC_003888.3_871;NC_003888.3_NC_003888.3_872;NC_003888.3_NC_003888.3_873;NC_003888.3_NC_003888.3_874;NC_003888.3_NC_003888.3_875;NC_003888.3_NC_003888.3_876;NC_003888.3_NC_003888.3_877;NC_003888.3_NC_003888.3_878;NC_003888.3_NC_003888.3_879;NC_003888.3_NC_003888.3_880;NC_003888.3_NC_003888.3_881	PF00903;PF01488;PF01243;PF02737;PF00561	PF03704;PF13424;PF13432;PF14559;PF00486;PF00561;PF12697;PF12146;PF05977;PF07690;PF13347;PF00903;PF03551;PF10070;PF03176;PF12900;PF01243;PF14833;PF03446;PF13579;PF07991;PF02826;PF02423;PF03807;PF02558;PF01488;PF01210;PF02737;PF02452;PF10021;PF04107;PF12867;PF03781;PF13230;PF13522;PF10017;PF13416;PF01547;PF07311;PF03767;PF12710;PF00296;PF00005;PF13555;PF13191
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_1048129-1049368.1	1048129	1049368	1239	1	2	0	0.53429	antibacterial	0.87	0.06	0.16	0.25		0.00	0.08	0.24	0.23	0.20	0.04	0.27	NC_003888.3_NC_003888.3_954		PF02655;PF13535
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_1050594-1054583.1	1050594	1054583	3989	4	26	2	0.68095	antibacterial	0.54	0.42	0.15	0.02	RiPP	0.01	0.07	0.15	0.07	0.66	0.01	0.04	NC_003888.3_NC_003888.3_956;NC_003888.3_NC_003888.3_957;NC_003888.3_NC_003888.3_958;NC_003888.3_NC_003888.3_959	PF08241;PF08242	PF02475;PF05401;PF02353;PF13489;PF05724;PF01135;PF01728;PF05175;PF01209;PF13847;PF03848;PF00398;PF13649;PF08241;PF08242;PF01497;PF01032;PF00950;PF00005;PF13604;PF13191;PF13555;PF02463;PF13175;PF13304;PF13476
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_1058376-1058961.1	1058376	1058961	585	1	2	0	0.53564	antibacterial	0.59	0.05	0.12	0.19		0.00	0.05	0.46	0.17	0.14	0.03	0.19	NC_003888.3_NC_003888.3_963		PF00440;PF16859
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_1222187-1222787.1	1222187	1222787	600	1	8	2	0.57647		0.43	0.38	0.24	0.03	Other	0.00	0.00	0.56	0.04	0.14	0.00	0.26	NC_003888.3_NC_003888.3_1119	PF08241;PF08242	PF01135;PF13489;PF01209;PF13847;PF08003;PF13649;PF08241;PF08242
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_1275829-1279960.1	1275829	1279960	4131	4	7	4	0.63375	antibacterial	0.61	0.02	0.04	0.21	Terpene	0.00	0.04	0.15	0.10	0.00	0.01	0.77	NC_003888.3_NC_003888.3_1162;NC_003888.3_NC_003888.3_1163;NC_003888.3_NC_003888.3_1164;NC_003888.3_NC_003888.3_1165	PF08545;PF00171;PF00067;PF08541	PF00171;PF00195;PF08392;PF08545;PF02797;PF08541;PF00067
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_1281883-1282540.1	1281883	1282540	657	1	1	0	0.50955	antibacterial	0.61	0.05	0.12	0.17		0.00	0.05	0.39	0.19	0.17	0.02	0.21	NC_003888.3_NC_003888.3_1168		PF00440
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_1314725-1314968.1	1314725	1314968	243	1	1	0	0.66569	antibacterial	0.87	0.09	0.17	0.29		0.00	0.09	0.07	0.33	0.21	0.03	0.32	NC_003888.3_NC_003888.3_1201		PF04149
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_1319886-1320564.1	1319886	1320564	678	1	6	2	0.62377		0.42	0.37	0.21	0.04		0.01	0.00	0.40	0.05	0.24	0.00	0.30	NC_003888.3_NC_003888.3_1206	PF08241;PF08242	PF13489;PF13847;PF13649;PF08241;PF08242;PF01209
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_1324335-1326727.1	1324335	1326727	2392	2	4	0	0.51368	antibacterial	0.87	0.06	0.18	0.25		0.00	0.06	0.12	0.36	0.20	0.02	0.28	NC_003888.3_NC_003888.3_1212;NC_003888.3_NC_003888.3_1213		PF00657;PF13472;PF00206;PF10397
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_1327990-1363153.1	1327990	1363153	35163	34	86	17	0.83900	antibacterial	0.66	0.40	0.12	0.04	Polyketide	0.00	0.23	0.12	0.57	0.09	0.10	0.05	NC_003888.3_NC_003888.3_1216;NC_003888.3_NC_003888.3_1217;NC_003888.3_NC_003888.3_1218;NC_003888.3_NC_003888.3_1219;NC_003888.3_NC_003888.3_1220;NC_003888.3_NC_003888.3_1221;NC_003888.3_NC_003888.3_1222;NC_003888.3_NC_003888.3_1223;NC_003888.3_NC_003888.3_1224;NC_003888.3_NC_003888.3_1225;NC_003888.3_NC_003888.3_1226;NC_003888.3_NC_003888.3_1227;NC_003888.3_NC_003888.3_1228;NC_003888.3_NC_003888.3_1229;NC_003888.3_NC_003888.3_1230;NC_003888.3_NC_003888.3_1231;NC_003888.3_NC_003888.3_1232;NC_003888.3_NC_003888.3_1233;NC_003888.3_NC_003888.3_1234;NC_003888.3_NC_003888.3_1235;NC_003888.3_NC_003888.3_1236;NC_003888.3_NC_003888.3_1237;NC_003888.3_NC_003888.3_1238;NC_003888.3_NC_003888.3_1239;NC_003888.3_NC_003888.3_1240;NC_003888.3_NC_003888.3_1241;NC_003888.3_NC_003888.3_1242;NC_003888.3_NC_003888.3_1243;NC_003888.3_NC_003888.3_1244;NC_003888.3_NC_003888.3_1245;NC_003888.3_NC_003888.3_1246;NC_003888.3_NC_003888.3_1247;NC_003888.3_NC_003888.3_1248;NC_003888.3_NC_003888.3_1249	PF01266;PF02801;PF01636;PF08545;PF00202;PF04321;PF02770;PF00155;PF01494;PF00108;PF08541;PF00109;PF07993;PF04820;PF01370;PF03364;PF00561	PF12679;PF12730;PF13304;PF00005;PF13555;PF07730;PF00072;PF04545;PF08281;PF00196;PF01047;PF13463;PF12802;PF09339;PF01978;PF00480;PF07702;PF00392;PF13545;PF12680;PF14534;PF08281;PF04545;PF04542;PF00561;PF12697;PF12146;PF12697;PF12146;PF01674;PF00561;PF05057;PF02801;PF00109;PF00108;PF00550;PF00198;PF00364;PF02780;PF02779;PF00676;PF00456;PF02775;PF13292;PF08541;PF08545;PF00108;PF10501;PF00550;PF07993;PF01370;PF01966;PF07992;PF01494;PF13450;PF04820;PF01266;PF04542;PF08281;PF03109;PF01636;PF01163;PF04072;PF03007;PF01266;PF00890;PF01946;PF13450;PF13454;PF05834;PF07992;PF01613;PF10604;PF03364;PF00202;PF07993;PF01370;PF13460;PF04321;PF02770;PF09924;PF14079;PF00392;PF00155;PF16655;PF09423
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_1405030-1412625.1	1405030	1412625	7595	6	13	4	0.56512	antibacterial	0.61	0.11	0.19	0.16	Polyketide	0.01	0.13	0.22	0.60	0.04	0.01	0.03	NC_003888.3_NC_003888.3_1290;NC_003888.3_NC_003888.3_1291;NC_003888.3_NC_003888.3_1292;NC_003888.3_NC_003888.3_1293;NC_003888.3_NC_003888.3_1294;NC_003888.3_NC_003888.3_1295	PF00106;PF00501;PF01370;PF08659	PF00501;PF13191;PF00931;PF13401;PF00196;PF08281;PF08281;PF10101;PF10935;PF13561;PF00106;PF08659;PF01370
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_1988459-1989701.1	1988459	1989701	1242	1	3	1	0.51579	antibacterial	0.64	0.14	0.11	0.14		0.00	0.03	0.15	0.19	0.36	0.00	0.26	NC_003888.3_NC_003888.3_1819	PF08241	PF00590;PF13649;PF08241
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_1991526-2027953.1	1991526	2027953	36427	36	54	7	0.73986		0.42	0.20	0.30	0.13	Other	0.05	0.07	0.67	0.05	0.06	0.12	0.02	NC_003888.3_NC_003888.3_1821;NC_003888.3_NC_003888.3_1822;NC_003888.3_NC_003888.3_1823;NC_003888.3_NC_003888.3_1824;NC_003888.3_NC_003888.3_1825;NC_003888.3_NC_003888.3_1826;NC_003888.3_NC_003888.3_1827;NC_003888.3_NC_003888.3_1828;NC_003888.3_NC_003888.3_1829;NC_003888.3_NC_003888.3_1830;NC_003888.3_NC_003888.3_1831;NC_003888.3_NC_003888.3_1832;NC_003888.3_NC_003888.3_1833;NC_003888.3_NC_003888.3_1834;NC_003888.3_NC_003888.3_1835;NC_003888.3_NC_003888.3_1836;NC_003888.3_NC_003888.3_1837;NC_003888.3_NC_003888.3_1838;NC_003888.3_NC_003888.3_1839;NC_003888.3_NC_003888.3_1840;NC_003888.3_NC_003888.3_1841;NC_003888.3_NC_003888.3_1842;NC_003888.3_NC_003888.3_1843;NC_003888.3_NC_003888.3_1844;NC_003888.3_NC_003888.3_1845;NC_003888.3_NC_003888.3_1846;NC_003888.3_NC_003888.3_1847;NC_003888.3_NC_003888.3_1848;NC_003888.3_NC_003888.3_1849;NC_003888.3_NC_003888.3_1850;NC_003888.3_NC_003888.3_1851;NC_003888.3_NC_003888.3_1852;NC_003888.3_NC_003888.3_1853;NC_003888.3_NC_003888.3_1854;NC_003888.3_NC_003888.3_1855;NC_003888.3_NC_003888.3_1856	PF00155;PF00171;PF00903;PF01408;PF06339;PF00583;PF00202	PF01903;PF00155;PF01979;PF07969;PF00266;PF13302;PF00583;PF13508;PF13673;PF14542;PF08445;PF00202;PF06339;PF12852;PF05721;PF00266;PF01323;PF13462;PF07081;PF00171;PF09339;PF01978;PF01614;PF13302;PF13420;PF00583;PF12746;PF00905;PF04542;PF08281;PF04545;PF03767;PF01095;PF00544;PF13229;PF00657;PF13472;PF13416;PF01547;PF04616;PF14100;PF01408;PF00528;PF00528;PF00920;PF00701;PF07729;PF00392;PF01325;PF11716;PF07690;PF13347;PF12681;PF00903
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_2038268-2038841.1	2038268	2038841	573	1	2	0	0.50377	antibacterial	0.61	0.05	0.12	0.17		0.00	0.05	0.39	0.19	0.17	0.02	0.21	NC_003888.3_NC_003888.3_1867		PF00440;PF02796
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_2058373-2060092.1	2058373	2060092	1719	2	10	1	0.62310	antibacterial	0.83	0.14	0.16	0.20		0.00	0.05	0.45	0.26	0.14	0.06	0.11	NC_003888.3_NC_003888.3_1889;NC_003888.3_NC_003888.3_1890	PF02522	PF13814;PF06224;PF01978;PF12840;PF12802;PF01022;PF13412;PF09339;PF01047;PF02522
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_2061088-2061898.1	2061088	2061898	810	1	4	0	0.50115	antibacterial	0.61	0.10	0.29	0.14		0.00	0.06	0.10	0.23	0.42	0.02	0.22	NC_003888.3_NC_003888.3_1892		PF01061;PF12730;PF12698;PF12679
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_2412354-2454993.1	2412354	2454993	42639	41	81	2	0.82982		0.43	0.17	0.30	0.10		0.01	0.16	0.15	0.14	0.45	0.11	0.02	NC_003888.3_NC_003888.3_2204;NC_003888.3_NC_003888.3_2205;NC_003888.3_NC_003888.3_2206;NC_003888.3_NC_003888.3_2207;NC_003888.3_NC_003888.3_2208;NC_003888.3_NC_003888.3_2209;NC_003888.3_NC_003888.3_2210;NC_003888.3_NC_003888.3_2211;NC_003888.3_NC_003888.3_2212;NC_003888.3_NC_003888.3_2213;NC_003888.3_NC_003888.3_2214;NC_003888.3_NC_003888.3_2215;NC_003888.3_NC_003888.3_2216;NC_003888.3_NC_003888.3_2217;NC_003888.3_NC_003888.3_2218;NC_003888.3_NC_003888.3_2219;NC_003888.3_NC_003888.3_2220;NC_003888.3_NC_003888.3_2221;NC_003888.3_NC_003888.3_2222;NC_003888.3_NC_003888.3_2223;NC_003888.3_NC_003888.3_2224;NC_003888.3_NC_003888.3_2225;NC_003888.3_NC_003888.3_2226;NC_003888.3_NC_003888.3_2227;NC_003888.3_NC_003888.3_2228;NC_003888.3_NC_003888.3_2229;NC_003888.3_NC_003888.3_2230;NC_003888.3_NC_003888.3_2231;NC_003888.3_NC_003888.3_2232;NC_003888.3_NC_003888.3_2233;NC_003888.3_NC_003888.3_2234;NC_003888.3_NC_003888.3_2235;NC_003888.3_NC_003888.3_2236;NC_003888.3_NC_003888.3_2237;NC_003888.3_NC_003888.3_2238;NC_003888.3_NC_003888.3_2239;NC_003888.3_NC_003888.3_2240;NC_003888.3_NC_003888.3_2241;NC_003888.3_NC_003888.3_2242;NC_003888.3_NC_003888.3_2243;NC_003888.3_NC_003888.3_2244	PF01636;PF00106	PF00440;PF13305;PF08450;PF00400;PF07714;PF00069;PF01636;PF04149;PF13560;PF16571;PF00753;PF04149;PF13560;PF06779;PF07690;PF00083;PF03372;PF02548;PF13714;PF00005;PF13555;PF13191;PF13304;PF02702;PF13732;PF01061;PF12730;PF12698;PF12679;PF00931;PF13191;PF13401;PF03704;PF00486;PF02163;PF03807;PF03446;PF02153;PF07991;PF10727;PF02826;PF00106;PF05977;PF07690;PF00557;PF01126;PF02567;PF04213;PF04213;PF01497;PF01032;PF10003;PF00950;PF00005;PF13555;PF13191;PF13481;PF03193;PF13476;PF13521;PF13304;PF02463;PF13473;PF09375;PF04261;PF03239;PF09250;PF16859;PF00440;PF13022;PF00196;PF08281;PF00072;PF09243;PF13649;PF00144;PF07690;PF03137;PF06609;PF13347;PF00083
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_2457953-2460026.1	2457953	2460026	2073	3	8	2	0.59109	antibacterial	0.75	0.07	0.17	0.16		0.02	0.01	0.06	0.24	0.28	0.02	0.38	NC_003888.3_NC_003888.3_2247;NC_003888.3_NC_003888.3_2248;NC_003888.3_NC_003888.3_2249	PF00106;PF08659	PF00106;PF08659;PF13561;PF13460;PF08643;PF12680;PF14534;PF07681
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_2477018-2499570.1	2477018	2499570	22552	21	54	5	0.77903	antibacterial	0.50	0.32	0.29	0.16		0.03	0.07	0.16	0.06	0.21	0.42	0.07	NC_003888.3_NC_003888.3_2268;NC_003888.3_NC_003888.3_2269;NC_003888.3_NC_003888.3_2270;NC_003888.3_NC_003888.3_2271;NC_003888.3_NC_003888.3_2272;NC_003888.3_NC_003888.3_2273;NC_003888.3_NC_003888.3_2274;NC_003888.3_NC_003888.3_2275;NC_003888.3_NC_003888.3_2276;NC_003888.3_NC_003888.3_2277;NC_003888.3_NC_003888.3_2278;NC_003888.3_NC_003888.3_2279;NC_003888.3_NC_003888.3_2280;NC_003888.3_NC_003888.3_2281;NC_003888.3_NC_003888.3_2282;NC_003888.3_NC_003888.3_2283;NC_003888.3_NC_003888.3_2284;NC_003888.3_NC_003888.3_2285;NC_003888.3_NC_003888.3_2286;NC_003888.3_NC_003888.3_2287;NC_003888.3_NC_003888.3_2288	PF01636;PF08242;PF00432;PF08241;PF00534	PF00072;PF00196;PF04545;PF13551;PF13542;PF13384;PF08281;PF07690;PF00083;PF06609;PF07690;PF13347;PF00083;PF06779;PF12832;PF10670;PF13620;PF13578;PF01520;PF13243;PF13489;PF07021;PF13847;PF01135;PF03141;PF01209;PF08241;PF08242;PF13649;PF05175;PF03602;PF02353;PF03848;PF13524;PF00534;PF13692;PF13439;PF13579;PF00440;PF01636;PF13243;PF00432;PF02361;PF13481;PF13191;PF03193;PF00005;PF13555;PF01926;PF13304;PF12822;PF01464;PF01427;PF02557
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_2500696-2501287.1	2500696	2501287	591	1	1	1	0.50136	antibacterial	0.86	0.07	0.17	0.28		0.00	0.09	0.11	0.31	0.21	0.01	0.30	NC_003888.3_NC_003888.3_2290	PF00857	PF00857
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_2501756-2502536.1	2501756	2502536	780	1	5	2	0.51687	antibacterial	0.56	0.07	0.07	0.44		0.00	0.39	0.15	0.40	0.02	0.02	0.03	NC_003888.3_NC_003888.3_2292	PF00975;PF00561	PF12697;PF00975;PF12146;PF00561;PF08386
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_2520563-2524270.1	2520563	2524270	3707	6	6	1	0.61421	antibacterial	0.71	0.06	0.27	0.20		0.03	0.02	0.35	0.21	0.17	0.03	0.24	NC_003888.3_NC_003888.3_2309;NC_003888.3_NC_003888.3_2310;NC_003888.3_NC_003888.3_2311;NC_003888.3_NC_003888.3_2312;NC_003888.3_NC_003888.3_2313;NC_003888.3_NC_003888.3_2314	PF00583	PF07681;PF09335;PF10041;PF13302;PF00583;PF13349
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_2538716-2546691.1	2538716	2546691	7975	6	8	0	0.67281	inhibitor	0.20	0.04	0.67	0.14		0.03	0.23	0.10	0.34	0.27	0.00	0.05	NC_003888.3_NC_003888.3_2328;NC_003888.3_NC_003888.3_2329;NC_003888.3_NC_003888.3_2330;NC_003888.3_NC_003888.3_2331;NC_003888.3_NC_003888.3_2332;NC_003888.3_NC_003888.3_2333		PF11253;PF00456;PF07690;PF06609;PF00083;PF00440;PF13022;PF06259
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_2549403-2569910.1	2549403	2569910	20507	19	36	8	0.83648	antibacterial	0.52	0.24	0.19	0.25	Polyketide	0.00	0.23	0.14	0.69	0.02	0.01	0.09	NC_003888.3_NC_003888.3_2337;NC_003888.3_NC_003888.3_2338;NC_003888.3_NC_003888.3_2339;NC_003888.3_NC_003888.3_2340;NC_003888.3_NC_003888.3_2341;NC_003888.3_NC_003888.3_2342;NC_003888.3_NC_003888.3_2343;NC_003888.3_NC_003888.3_2344;NC_003888.3_NC_003888.3_2345;NC_003888.3_NC_003888.3_2346;NC_003888.3_NC_003888.3_2347;NC_003888.3_NC_003888.3_2348;NC_003888.3_NC_003888.3_2349;NC_003888.3_NC_003888.3_2350;NC_003888.3_NC_003888.3_2351;NC_003888.3_NC_003888.3_2352;NC_003888.3_NC_003888.3_2353;NC_003888.3_NC_003888.3_2354;NC_003888.3_NC_003888.3_2355	PF02801;PF08545;PF00108;PF08541;PF00107;PF00698;PF00109;PF00583	PF13302;PF00583;PF13508;PF13527;PF08445;PF13673;PF00144;PF13560;PF04149;PF00652;PF14200;PF03498;PF14440;PF02678;PF07883;PF13556;PF00698;PF00195;PF00108;PF08392;PF08545;PF08541;PF00550;PF14573;PF00109;PF00108;PF02801;PF11343;PF00657;PF13472;PF01263;PF07264;PF02566;PF13602;PF00107;PF16884
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_2790361-2791648.1	2790361	2791648	1287	1	1	1	0.60537	antibacterial	0.83	0.06	0.17	0.30		0.00	0.11	0.08	0.32	0.20	0.03	0.31	NC_003888.3_NC_003888.3_2543	PF00171	PF00171
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_2934113-2967589.1	2934113	2967589	33476	32	50	6	0.94003	antibacterial	0.55	0.04	0.18	0.17	Saccharide	0.02	0.08	0.17	0.02	0.04	0.66	0.01	NC_003888.3_NC_003888.3_2652;NC_003888.3_NC_003888.3_2653;NC_003888.3_NC_003888.3_2654;NC_003888.3_NC_003888.3_2655;NC_003888.3_NC_003888.3_2656;NC_003888.3_NC_003888.3_2657;NC_003888.3_NC_003888.3_2658;NC_003888.3_NC_003888.3_2659;NC_003888.3_NC_003888.3_2660;NC_003888.3_NC_003888.3_2661;NC_003888.3_NC_003888.3_2662;NC_003888.3_NC_003888.3_2663;NC_003888.3_NC_003888.3_2664;NC_003888.3_NC_003888.3_2665;NC_003888.3_NC_003888.3_2666;NC_003888.3_NC_003888.3_2667;NC_003888.3_NC_003888.3_2668;NC_003888.3_NC_003888.3_2669;NC_003888.3_NC_003888.3_2670;NC_003888.3_NC_003888.3_2671;NC_003888.3_NC_003888.3_2672;NC_003888.3_NC_003888.3_2673;NC_003888.3_NC_003888.3_2674;NC_003888.3_NC_003888.3_2675;NC_003888.3_NC_003888.3_2676;NC_003888.3_NC_003888.3_2677;NC_003888.3_NC_003888.3_2678;NC_003888.3_NC_003888.3_2679;NC_003888.3_NC_003888.3_2680;NC_003888.3_NC_003888.3_2681;NC_003888.3_NC_003888.3_2682;NC_003888.3_NC_003888.3_2683	PF02706;PF04932;PF02397;PF02668;PF00534;PF00501	PF07690;PF12832;PF06813;PF13360;PF00400;PF12894;PF02668;PF03781;PF00389;PF02826;PF03446;PF09860;PF08843;PF03777;PF00264;PF06236;PF03205;PF03777;PF13439;PF13579;PF13477;PF00534;PF13692;PF13524;PF13727;PF02397;PF04932;PF03023;PF01554;PF14667;PF01522;PF13439;PF13579;PF13477;PF00534;PF13692;PF02706;PF13480;PF02156;PF09849;PF03777;PF03777;PF00501;PF12034;PF00092;PF13768;PF13519;PF12450;PF12679;PF12730
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_3073684-3086671.1	3073684	3086671	12987	11	16	0	0.65922	antibacterial	0.61	0.07	0.11	0.17		0.00	0.07	0.40	0.19	0.16	0.03	0.19	NC_003888.3_NC_003888.3_2775;NC_003888.3_NC_003888.3_2776;NC_003888.3_NC_003888.3_2777;NC_003888.3_NC_003888.3_2778;NC_003888.3_NC_003888.3_2779;NC_003888.3_NC_003888.3_2780;NC_003888.3_NC_003888.3_2781;NC_003888.3_NC_003888.3_2782;NC_003888.3_NC_003888.3_2783;NC_003888.3_NC_003888.3_2784;NC_003888.3_NC_003888.3_2785		PF00440;PF00296;PF00563;PF00990;PF08448;PF00989;PF13426;PF13188;PF09250;PF14592;PF00544;PF01177;PF01177;PF00389;PF02826;PF01425
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_3130824-3150744.1	3130824	3150744	19920	20	31	3	0.67402	antibacterial	0.62	0.12	0.23	0.13		0.00	0.10	0.20	0.16	0.47	0.05	0.04	NC_003888.3_NC_003888.3_2837;NC_003888.3_NC_003888.3_2838;NC_003888.3_NC_003888.3_2839;NC_003888.3_NC_003888.3_2840;NC_003888.3_NC_003888.3_2841;NC_003888.3_NC_003888.3_2842;NC_003888.3_NC_003888.3_2843;NC_003888.3_NC_003888.3_2844;NC_003888.3_NC_003888.3_2845;NC_003888.3_NC_003888.3_2846;NC_003888.3_NC_003888.3_2847;NC_003888.3_NC_003888.3_2848;NC_003888.3_NC_003888.3_2849;NC_003888.3_NC_003888.3_2850;NC_003888.3_NC_003888.3_2851;NC_003888.3_NC_003888.3_2852;NC_003888.3_NC_003888.3_2853;NC_003888.3_NC_003888.3_2854;NC_003888.3_NC_003888.3_2855;NC_003888.3_NC_003888.3_2856	PF00903;PF00067;PF00561	PF12158;PF03259;PF05331;PF08784;PF12802;PF09339;PF03029;PF00067;PF02627;PF03096;PF12697;PF00561;PF12146;PF12681;PF00903;PF00083;PF07690;PF06779;PF12832;PF04286;PF00657;PF13472;PF17182;PF09922;PF08044;PF13304;PF00005;PF03308;PF13555;PF06182;PF06182
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_3316757-3320498.1	3316757	3320498	3741	1	3	0	0.50004	antibacterial	0.81	0.06	0.21	0.24		0.00	0.07	0.07	0.21	0.13	0.33	0.23	NC_003888.3_NC_003888.3_2989		PF13632;PF13641;PF13506
